adresse_complete;cp_ville
10 R DE L'ECLIPSE;95800 CERGY
1 R RICHAUD;78011 VERSAILLES CEDEX
259 AV ROGER SALENGRO;92370 CHAVILLE
12 R ERNEST RENAN;92310 SEVRES
5 R RABELAIS;92600 ASNIERES SUR SEINE
42 R P.VAILLANT COUTURIER;92240 MALAKOFF
16 R DES MOUSSERONS;91160 LONGJUMEAU
167 R RAYMOND LOSSERAND;75014 PARIS
3 R RIDDER;75014 PARIS
18 R SALNEUVE;75017 PARIS
7 R BENSERADE;94257 GENTILLY CEDEX
2 R DE SURESNES;93200 ST DENIS
BD DES CHAMPS ELYSEES;91024 EVRY CEDEX
5 R JEAN  JAURES;77410 CLAYE SOUILLY
62 R BERTRAND FLORNOY;77120 COULOMMIERS
6 AV DE L'ILE DE FRANCE;95300 PONTOISE
52 R DES ABONDANCES;92100 BOULOGNE BILLANCOURT
17T R DES FAUVETTES;92321 CHATILLON CEDEX
191 R SADI CARNOT;93170 BAGNOLET
91 BD RABELAIS;94100 ST MAUR DES FOSSES
41 AV DE VERDUN;93140 BONDY
32 R DU MONTGARDE;78410 AUBERGENVILLE
3 AV DE VILLACOUBLAY;92360 MEUDON LA FORET
12T R GRANDE RUE CH. DE GAULLE;92600 ASNIERES SUR SEINE
13 R GRANDE BATELIERE;75009 PARIS
11 R ABBEVILLE;75010 PARIS
111 R CARON;91205 ATHIS MONS CEDEX
14 R LOUIS BRAILLE;77103 MEAUX CEDEX
220 R MANSART;78373 PLAISIR CEDEX
46 R RAYMOND BERRURIER;78320 LE MESNIL ST DENIS
72 AV DE LA PRINCESSE;78110 LE VESINET
128 R DANTON;92500 RUEIL MALMAISON
5 R MICHELET;92150 SURESNES
38 R DU PONT;92200 NEUILLY SUR SEINE
7 R AMAURY DUVAL;92120 MONTROUGE
39 R DE L'ORANGERIE;91700 STE GENEVIEVE DES BOIS
12 AV CHARLES DE GAULLE;91160 LONGJUMEAU
9  SENTE DES DOREES;75019 PARIS
31 R LA BRÈCHE AUX LOUPS;75012 PARIS
15 SQ DES CARDEURS;75020 PARIS
41 AV DU MARECHAL JUIN;93260 LES LILAS
6 R DOHIS;94300 VINCENNES
17 R PETIT DE BEAUVERGER;77255 BRIE COMTE ROBERT CEDEX
15 R DES CHAUDINS;77796 NEMOURS CEDEX
10 R DU CHAMP GAILLARD;78303 POISSY CEDEX
;78350 LES LOGES EN JOSAS
18 R PARMENTIER;95870 BEZONS
13 RPT ANDRE MALRAUX;92100 BOULOGNE BILLANCOURT
18 R CAMILLE PELLETAN;92120 MONTROUGE
27 R DE LA JONQUIERE;75017 PARIS
36 R D'ASSAS;75006 PARIS
6 R AUGUSTE POULLAIN;93200 ST DENIS
R DU CLOS BENARD;93300 AUBERVILLIERS
5 ALL CLAUDE BERNARD;93440 DUGNY
2 PL DE LA BOULAIE;94470 BOISSY ST LEGER
30 R VERCINGETORIX;93600 AULNAY SOUS BOIS
86 R DU ROLE;91800 BRUNOY
3 AV JEAN JAURES;93330 NEUILLY SUR MARNE
7 ALL ROMAIN ROLLAND;93390 CLICHY SOUS BOIS
6 R SAINT FIACRE;77104 MEAUX CEDEX
9B R DE SAINT GERMAIN;78560 LE PORT MARLY
24 BD DU CHATEAU;92200 NEUILLY SUR SEINE
33 AV ANATOLE FRANCE;94220 CHARENTON LE PONT
12 R DU COQ FRANCAIS;93260 LES LILAS
56 BD DE LA BOISSIERE;93100 MONTREUIL
1 BD ROGER SALENGRO;93130 NOISY LE SEC
R BERNARD FEVRIER;95503 GONESSE CEDEX
18 R JOYEUSE;94340 JOINVILLE LE PONT
168B R DU GENERAL LECLERC;93110 ROSNY SOUS BOIS
9 R BONTEMPS;77000 MELUN
4 R GABRIEL PERI;77527 COULOMMIERS CEDEX
22 RTE DE GRESSEY;78550 RICHEBOURG
403 AV DE LA REPUBLIQUE;92014 NANTERRE CEDEX
11 R TISSERAND;75015 PARIS
5 R AVAULEE;92240 MALAKOFF
45 R LA TOUR D'AUVERGNE;75009 PARIS
