raison_sociale;adresse_complete;cp_ville;lat;lng
HOPITAL DE JOUR FRANCOIS VILLON;10 R DE L'ECLIPSE;95800 CERGY;49.0512627;2.0304689
CH DE VERSAILLES-HOPITAL RICHAUD;1 R RICHAUD;78011 VERSAILLES CEDEX;48.8074016;2.1337584
"CMP 92I05 ENFANTS ""CHAVISÈVRES""";259 AV ROGER SALENGRO;92370 CHAVILLE;48.8174288;2.1962218
"HOPITAL DE JOUR ""LES LIERRES""";12 R ERNEST RENAN;92310 SEVRES;48.820483;2.2143718
CMP ADULTES 92G02 (RABELAIS);5 R RABELAIS;92600 ASNIERES SUR SEINE;48.9131996;2.2906781
POLYCLINIQUE COUTURIER 92G18;42 R P.VAILLANT COUTURIER;92240 MALAKOFF;48.8130707;2.2968778
APPARTEMENT THERAPEUTIQUE;16 R DES MOUSSERONS;91160 LONGJUMEAU;48.6899321;2.3015811
CENTRE PARIS SUD;167 R RAYMOND LOSSERAND;75014 PARIS;48.8303682;2.3112489
HOP DE JOUR CEREP (U.S.I.S. ET E.P.I.);3 R RIDDER;75014 PARIS;48.8311258;2.3118698
CMP ADULTES SALNEUVE;18 R SALNEUVE;75017 PARIS;48.8855503;2.3143885
CENTRE HOSP.FONDATION VALLEE;7 R BENSERADE;94257 GENTILLY CEDEX;48.8104419;2.3478515
HOPITAL DE JOUR 93G01;2 R DE SURESNES;93200 ST DENIS;48.9437988;2.3671009
CLINIQUE DE L'ESSONNE;BD DES CHAMPS ELYSEES;91024 EVRY CEDEX;48.6410335;2.4334713
CENTRE MEDICO-PSYCHO. 77 I 05;5 R JEAN  JAURES;77410 CLAYE SOUILLY;48.9450129;2.6828298
CTRE MEDICO-PSYCHOLOGIQUE 77I04;62 R BERTRAND FLORNOY;77120 COULOMMIERS;48.8097014;3.0827256
HOPITAL DE JOUR LES MARECHAUX;6 AV DE L'ILE DE FRANCE;95300 PONTOISE;49.0644797;2.094137
"CTRE LONG SEJOUR ""LES ABONDANCES""";52 R DES ABONDANCES;92100 BOULOGNE BILLANCOURT;48.8461386;2.2302831
CLINIQUE DE CHATILLON;17T R DES FAUVETTES;92321 CHATILLON CEDEX;48.8071422;2.2821651
CENTRE MEDICO-PSY;191 R SADI CARNOT;93170 BAGNOLET;48.8757275;2.4250856
C.M.P.PSY.INFANTO-JUV.- ST MAUR;91 BD RABELAIS;94100 ST MAUR DES FOSSES;48.805441;2.4832421
CENTRE MÉDICO-PSYCHOLOGIQUE VERDUN;41 AV DE VERDUN;93140 BONDY;48.9033263;2.4924578
CENTRE DE CONVALESCENCE;32 R DU MONTGARDE;78410 AUBERGENVILLE;48.9571554;1.847143
CLINIQUE DE MEUDON LA FORET;3 AV DE VILLACOUBLAY;92360 MEUDON LA FORET;48.797611;2.224815
CMP UATA ADOLESCENTS 92/01;12T R GRANDE RUE CH. DE GAULLE;92600 ASNIERES SUR SEINE;48.914155;2.285369
HOPITAL DE JOUR GRANGE BATELIERE;13 R GRANDE BATELIERE;75009 PARIS;48.8731588;2.3419865
CATTP ADULTES LES CARIATIDES;11 R ABBEVILLE;75010 PARIS;48.878593;2.3503273
HOPITAL PRIVE D'ATHIS MONS/ SITE CARON;111 R CARON;91205 ATHIS MONS CEDEX;48.7187934;2.4100206
CTRE REED. &  READ. FONCT. LE BRASSET;14 R LOUIS BRAILLE;77103 MEAUX CEDEX;48.9659983;2.8731605
CTRE DE LONG SEJOUR - HGMS DE PLAISIR;220 R MANSART;78373 PLAISIR CEDEX;48.8253391;1.9392303
CLINIQUE KORIAN LES NOES;46 R RAYMOND BERRURIER;78320 LE MESNIL ST DENIS;48.7435609;1.9595223
LONG SEJOUR DE L'HÔPITAL DU VESINET;72 AV DE LA PRINCESSE;78110 LE VESINET;48.882914;2.1308833
CLINIQUE DU MONT VALERIEN;128 R DANTON;92500 RUEIL MALMAISON;48.8766562;2.1999951
"HDJ / CMP 92G09 ""JEAN-WIER""";5 R MICHELET;92150 SURESNES;48.8766552;2.23211
CMP ADULTE CH COURBEVOIE-NEUILLY/SEINE;38 R DU PONT;92200 NEUILLY SUR SEINE;48.8878771;2.2581502
CMP ADULTES 92G18 (AMAURY DUVAL);7 R AMAURY DUVAL;92120 MONTROUGE;48.816952;2.3239986
CATTP ORANGERIE;39 R DE L'ORANGERIE;91700 STE GENEVIEVE DES BOIS;48.6403813;2.33089
CENTRE MEDICO-PSY. 91 G 06;12 AV CHARLES DE GAULLE;91160 LONGJUMEAU;48.7051795;2.3359228
HÔPITAL JEAN JAURÈS;9  SENTE DES DOREES;75019 PARIS;48.8870974;2.393777
CENTRE LA BRECHE AUX LOUPS;31 R LA BRÈCHE AUX LOUPS;75012 PARIS;48.8380814;2.3948933
CMP ENFANTS AP-HP ROBERT DEBRE 75I12;15 SQ DES CARDEURS;75020 PARIS;48.8585006;2.4072562
CLINIQUE DES LILAS;41 AV DU MARECHAL JUIN;93260 LES LILAS;48.8790004;2.4224619
CMP INF-JUV DOHIS;6 R DOHIS;94300 VINCENNES;48.8464513;2.4224998
HOP. LOCAL DE BRIE-COMTE-ROBERT;17 R PETIT DE BEAUVERGER;77255 BRIE COMTE ROBERT CEDEX;48.6941189;2.606221
CENTRE HOSPITALIER DE NEMOURS;15 R DES CHAUDINS;77796 NEMOURS CEDEX;48.2621834;2.7053384
CHI POISSY ST-GERMAIN SITE DE POISSY;10 R DU CHAMP GAILLARD;78303 POISSY CEDEX;48.9186098;2.0226947
CENTRE PEDIATRIQUE DES COTES;;78350 LES LOGES EN JOSAS;48.764287;2.140358
APPARTEMENT THERAPEUTIQUE 95G06;18 R PARMENTIER;95870 BEZONS;48.9297453;2.2159838
CENTRE CHIRURGICAL DES PRINCES;13 RPT ANDRE MALRAUX;92100 BOULOGNE BILLANCOURT;48.8405307;2.2475657
"HDJ / CMP 92I06 ""JOAN RIVIÈRE""";18 R CAMILLE PELLETAN;92120 MONTROUGE;48.8167255;2.3095402
CLINIQUE DE LA JONQUIERE;27 R DE LA JONQUIERE;75017 PARIS;48.8935347;2.3246893
INSTITUT ARTHUR VERNES;36 R D'ASSAS;75006 PARIS;48.8476081;2.3295914
CENTRE DE SANTE SEMION GLUZMAN;6 R AUGUSTE POULLAIN;93200 ST DENIS;48.9407438;2.3559732
UNITE HOSP CLOS BESNARD AUBERVILLIERS;R DU CLOS BENARD;93300 AUBERVILLIERS;48.9110482;2.386525
CENTRE MEDICO-PSYCH.C.BERNARD;5 ALL CLAUDE BERNARD;93440 DUGNY;48.9541807;2.4141007
CATTP;2 PL DE LA BOULAIE;94470 BOISSY ST LEGER;48.7536669;2.4996226
CENTRE MEDICO-PSYCHOLOGIQUE 93-G07;30 R VERCINGETORIX;93600 AULNAY SOUS BOIS;48.9251367;2.5014437
CLINIQUE GERIATRIQUE LES VALLEES;86 R DU ROLE;91800 BRUNOY;48.7032474;2.518798
CENTRE HOSP. MAISON-BLANCHE;3 AV JEAN JAURES;93330 NEUILLY SUR MARNE;48.8628283;2.5456381
CENTRE MEDICO-PSYCHO.R.ROLLAND;7 ALL ROMAIN ROLLAND;93390 CLICHY SOUS BOIS;48.90474;2.5555132
C.H. DE MEAUX;6 R SAINT FIACRE;77104 MEAUX CEDEX;48.9672432;2.8841968
CENTRE MEDICO-CHIRURGICAL DE L'EUROPE;9B R DE SAINT GERMAIN;78560 LE PORT MARLY;48.8805256;2.1085083
CLINIQUE SAINTE-ISABELLE;24 BD DU CHATEAU;92200 NEUILLY SUR SEINE;48.8903212;2.2698414
CMP  INF-JUV ANATOLE  FRANCE;33 AV ANATOLE FRANCE;94220 CHARENTON LE PONT;48.8244793;2.4110188
MATERNITE DES LILAS;12 R DU COQ FRANCAIS;93260 LES LILAS;48.8786012;2.4148143
SMUR PEDIA.AVICENNE AP-HP;56 BD DE LA BOISSIERE;93100 MONTREUIL;48.878406;2.4533091
KORIAN ROGER SALENGRO;1 BD ROGER SALENGRO;93130 NOISY LE SEC;48.887764;2.4566499
CENTRE HOSPITALIER DE GONESSE;R BERNARD FEVRIER;95503 GONESSE CEDEX;48.984332;2.460589
CMP JOYEUSE;18 R JOYEUSE;94340 JOINVILLE LE PONT;48.818783;2.4764719
CLINIQUE DE L'AURORE;168B R DU GENERAL LECLERC;93110 ROSNY SOUS BOIS;48.8655769;2.4952363
CENTRE MEDICO-PSY. 77 G 03;9 R BONTEMPS;77000 MELUN;48.539438;2.6669933
CENTRE HOSPITALIER DE COULOMMIERS;4 R GABRIEL PERI;77527 COULOMMIERS CEDEX;48.8266164;3.0977722
